date;amount;currency;type;city
04/07/2022;15.15;GBP;MISC;
04/07/2022;45;GBP;TRANSPORTATION;
05/07/2022;13;GBP;TRANSPORTATION;UK
05/07/2022;2.3;GBP;TRANSPORTATION;UK
05/07/2022;32.4;EUR;ACCOMMODATION;PALMA
05/07/2022;12.49;GBP;FOOD_DRINKS;UK
05/07/2022;3.95;EUR;MISC;PALMA
05/07/2022;5;EUR;TRANSPORTATION;PALMA
05/07/2022;10;EUR;ACCOMMODATION;PALMA
05/07/2022;3;EUR;MISC;PALMA
06/07/2022;35;EUR;ACCOMMODATION;PALMA
06/07/2022;19.75;EUR;FOOD_DRINKS;PALMA
06/07/2022;40.5;EUR;ACCOMMODATION;PALMA
06/07/2022;1.5;EUR;FOOD_DRINKS;PALMA
06/07/2022;3.5;EUR;FOOD_DRINKS;PALMA
06/07/2022;6.1;EUR;FOOD_DRINKS;PALMA
07/07/2022;32;EUR;ENTERTAINMENT;PALMA
07/07/2022;12.2;EUR;FOOD_DRINKS;PALMA
07/07/2022;3.6;EUR;FOOD_DRINKS;PALMA
07/07/2022;27;EUR;TRANSPORTATION;
07/07/2022;32.67;EUR;ACCOMMODATION;PALMA
07/07/2022;54.66;EUR;ACCOMMODATION;BARCELONA
07/07/2022;7.9;EUR;FOOD_DRINKS;PALMA
07/07/2022;3;EUR;MISC;PALMA
08/07/2022;9.99;EUR;MISC;PALMA
08/07/2022;5.6;EUR;FOOD_DRINKS;PALMA
08/07/2022;2.5;EUR;MISC;PALMA
09/07/2022;5;EUR;TRANSPORTATION;PALMA
09/07/2022;9.25;EUR;FOOD_DRINKS;PALMA
09/07/2022;5.9;EUR;TRANSPORTATION;BARCELONA
09/07/2022;23.8;EUR;TRANSPORTATION;BARCELONA
09/07/2022;64.29;GBP;ACCOMMODATION;BARCELONA
09/07/2022;8.5;EUR;FOOD_DRINKS;BARCELONA
09/07/2022;6;EUR;FOOD_DRINKS;BARCELONA
09/07/2022;9.35;EUR;FOOD_DRINKS;BARCELONA
10/07/2022;1.9;EUR;FOOD_DRINKS;BARCELONA
10/07/2022;11.4;EUR;FOOD_DRINKS;BARCELONA
10/07/2022;11.7;EUR;TRANSPORTATION;BARCELONA
11/07/2022;121.31;GBP;ACCOMMODATION;BARCELONA
11/07/2022;7.2;EUR;FOOD_DRINKS;BARCELONA
11/07/2022;1.85;EUR;FOOD_DRINKS;BARCELONA
11/07/2022;5.9;EUR;FOOD_DRINKS;BARCELONA
12/07/2022;12;EUR;ENTERTAINMENT;BARCELONA
12/07/2022;5.17;EUR;FOOD_DRINKS;BARCELONA
12/07/2022;6.22;EUR;FOOD_DRINKS;BARCELONA
12/07/2022;3;EUR;FOOD_DRINKS;BARCELONA
12/07/2022;6;EUR;ENTERTAINMENT;BARCELONA
12/07/2022;4.65;EUR;FOOD_DRINKS;BARCELONA
13/07/2022;5.5;EUR;MISC;BARCELONA
13/07/2022;78;EUR;ACCOMMODATION;BARCELONA
13/07/2022;2;EUR;FOOD_DRINKS;BARCELONA
13/07/2022;10;EUR;ENTERTAINMENT;BARCELONA
13/07/2022;8;EUR;FOOD_DRINKS;BARCELONA
14/07/2022;30;EUR;ENTERTAINMENT;BARCELONA
14/07/2022;10;EUR;FOOD_DRINKS;BARCELONA
14/07/2022;5.67;EUR;FOOD_DRINKS;BARCELONA
14/07/2022;10;EUR;ENTERTAINMENT;BARCELONA
14/07/2022;3.5;EUR;FOOD_DRINKS;BARCELONA
14/07/2022;10;EUR;ENTERTAINMENT;BARCELONA
14/07/2022;6.3;EUR;FOOD_DRINKS;BARCELONA
14/07/2022;6.98;EUR;FOOD_DRINKS;BARCELONA
14/07/2022;11.75;EUR;FOOD_DRINKS;BARCELONA
14/07/2022;4.8;EUR;TRANSPORTATION;BARCELONA
15/07/2022;1.8;EUR;FOOD_DRINKS;BARCELONA
15/07/2022;1.95;EUR;MISC;BARCELONA
15/07/2022;2.5;EUR;FOOD_DRINKS;BARCELONA
15/07/2022;11;EUR;TRANSPORTATION;BARCELONA
15/07/2022;6.5;EUR;FOOD_DRINKS;BARCELONA
15/07/2022;10;EUR;ENTERTAINMENT;BARCELONA
15/07/2022;10;EUR;FOOD_DRINKS;BARCELONA
15/07/2022;9.4;EUR;TRANSPORTATION;BARCELONA
15/07/2022;8;EUR;MISC;BARCELONA
15/07/2022;1.2;EUR;FOOD_DRINKS;BARCELONA
16/07/2022;64.06;EUR;ACCOMMODATION;BARCELONA
16/07/2022;0.95;EUR;MISC;BARCELONA
16/07/2022;5.3;EUR;FOOD_DRINKS;BARCELONA
16/07/2022;6.09;EUR;FOOD_DRINKS;BARCELONA
16/07/2022;3;EUR;ENTERTAINMENT;BARCELONA
17/07/2022;3.25;EUR;FOOD_DRINKS;BARCELONA
17/07/2022;10;EUR;ENTERTAINMENT;BARCELONA
17/07/2022;1.3;EUR;FOOD_DRINKS;BARCELONA
17/07/2022;3.25;EUR;FOOD_DRINKS;BARCELONA
17/07/2022;18;EUR;FOOD_DRINKS;BARCELONA
18/07/2022;11.5;EUR;FOOD_DRINKS;BARCELONA
18/07/2022;7.5;EUR;FOOD_DRINKS;BARCELONA
18/07/2022;1.85;EUR;FOOD_DRINKS;BARCELONA
18/07/2022;10;EUR;ENTERTAINMENT;BARCELONA
18/07/2022;1;EUR;FOOD_DRINKS;BARCELONA
18/07/2022;3.4;EUR;FOOD_DRINKS;BARCELONA
19/07/2022;7.45;EUR;FOOD_DRINKS;BARCELONA
19/07/2022;4.5;EUR;MISC;BARCELONA
19/07/2022;1.5;EUR;FOOD_DRINKS;BARCELONA
19/07/2022;7.5;EUR;MISC;BARCELONA
19/07/2022;10;EUR;ENTERTAINMENT;BARCELONA
19/07/2022;6;EUR;ENTERTAINMENT;BARCELONA
19/07/2022;32.75;GBP;TRANSPORTATION;
19/07/2022;3.25;EUR;FOOD_DRINKS;BARCELONA
19/07/2022;4.5;EUR;FOOD_DRINKS;BARCELONA
19/07/2022;1;EUR;MISC;BARCELONA
19/07/2022;2.65;EUR;FOOD_DRINKS;BARCELONA
20/07/22;3.2;EUR;FOOD_DRINKS;BARCELONA
20/07/22;5;EUR;FOOD_DRINKS;BARCELONA
20/07/22;1.5;EUR;FOOD_DRINKS;BARCELONA
20/07/22;7;EUR;ENTERTAINMENT;BARCELONA
20/07/22;1.42;EUR;FOOD_DRINKS;BARCELONA
20/07/22;26.73;EUR;ACCOMMODATION;MADRID
21/07/22;5.15;EUR;TRANSPORTATION;BARCELONA
21/07/22;15;EUR;FOOD_DRINKS;BARCELONA
21/07/22;17.7;EUR;TRANSPORTATION;MADRID
21/07/22;4.22;EUR;FOOD_DRINKS;MADRID
21/07/22;3.2;EUR;FOOD_DRINKS;MADRID
21/07/22;2.5;EUR;FOOD_DRINKS;MADRID
21/07/22;4.5;EUR;FOOD_DRINKS;MADRID
22/07/2022;3.5;EUR;FOOD_DRINKS;MADRID
22/07/2022;32;EUR;ACCOMMODATION;MADRID
22/07/2022;1.5;EUR;FOOD_DRINKS;MADRID
22/07/2022;2.3;EUR;FOOD_DRINKS;MADRID
22/07/2022;10.07;EUR;FOOD_DRINKS;MADRID
23/07/2022;2.25;EUR;FOOD_DRINKS;MADRID
23/07/2022;11.75;EUR;FOOD_DRINKS;MADRID
23/07/2022;64.14;GBP;TRANSPORTATION;
24/07/2022;8.3;EUR;FOOD_DRINKS;MADRID
24/07/2022;3.5;EUR;FOOD_DRINKS;MADRID
24/07/2022;1;EUR;FOOD_DRINKS;MADRID
24/07/2022;2.5;EUR;FOOD_DRINKS;MADRID
24/07/2022;5.3;EUR;FOOD_DRINKS;MADRID
24/07/2022;4.5;EUR;FOOD_DRINKS;MADRID
25/07/2022;5;EUR;TRANSPORTATION;MADRID
25/07/2022;11.65;EUR;FOOD_DRINKS;MADRID
25/07/2022;6;EUR;TRANSPORTATION;VALENCIA
26/07/2022;10;EUR;ENTERTAINMENT;VALENCIA
26/07/2022;2.3;EUR;FOOD_DRINKS;VALENCIA
26/07/2022;27;EUR;ACCOMMODATION;VALENCIA
26/07/2022;0.83;EUR;FOOD_DRINKS;VALENCIA
26/07/2022;1.5;EUR;TRANSPORTATION;VALENCIA
26/07/2022;7.25;EUR;FOOD_DRINKS;VALENCIA
27/07/2022;7;EUR;MISC;VALENCIA
27/07/2022;1.5;EUR;TRANSPORTATION;VALENCIA
27/07/2022;27;EUR;ACCOMMODATION;VALENCIA
27/07/2022;8.7;EUR;ENTERTAINMENT;VALENCIA
27/07/2022;3;EUR;FOOD_DRINKS;VALENCIA
27/07/2022;0.4;EUR;FOOD_DRINKS;VALENCIA
27/07/2022;49.07;GBP;TRANSPORTATION;
28/07/2022;4.5;EUR;FOOD_DRINKS;VALENCIA
28/07/2022;2.3;EUR;FOOD_DRINKS;VALENCIA
28/07/2022;8.7;EUR;ENTERTAINMENT;VALENCIA
28/07/2022;0.93;EUR;FOOD_DRINKS;VALENCIA
28/07/2022;2.5;EUR;FOOD_DRINKS;VALENCIA
28/07/2022;7;EUR;ENTERTAINMENT;VALENCIA
29/07/2022;5.6;EUR;TRANSPORTATION;VALENCIA
29/07/2022;8.89;GBP;FOOD_DRINKS;UK
29/07/2022;2.2;GBP;FOOD_DRINKS;UK
29/07/2022;1;GBP;TRANSPORTATION;UK
